,rk,player,age,mp,fg_pct,threes_pct,ft_pct,fg_pm,threes_pm,ft_pm,orb_pm,trb_pm,ast_pm,stl_pm,blk_pm,tov_pm,pf_pm,pts_pm,debut_month,lasts
0,1,Rafer Alston,23,361,0.284,0.214,0.75,0.0747922,0.0083102,0.0083102,0.0138504,0.0637119,0.1939058,0.033241,0.0,0.0803324,0.0803324,0.166205,4,True
1,2,Chucky Atkins,25,1626,0.424,0.35,0.7290000000000001,0.1931119,0.0350554,0.0596556,0.0123001,0.0774908,0.1881919,0.0319803,0.001845,0.0873309,0.0842558,0.4809348,1,True
2,3,William Avery,20,484,0.309,0.28600000000000003,0.667,0.1157025,0.0371901,0.0495868,0.0165289,0.0826446,0.1818182,0.0289256,0.0041322,0.0867769,0.1239669,0.3181818,1,False
3,4,Jonathan Bender,19,130,0.32899999999999996,0.16699999999999998,0.667,0.1769231,0.0153846,0.1230769,0.0307692,0.1615385,0.0230769,0.0076923,0.0384615,0.0538462,0.1384615,0.4923077,2,True
4,5,Calvin Booth,23,143,0.348,0.0,0.7140000000000001,0.1118881,0.0,0.0699301,0.1048951,0.2237762,0.048951,0.020979,0.0979021,0.041958,0.1608392,0.2937063,5,True
5,6,Lazaro Borrell,27,167,0.444,0.0,0.545,0.1676647,0.0,0.0359281,0.0838323,0.239521,0.0598802,0.0359281,0.0179641,0.0359281,0.0538922,0.3712575,1,False
6,7,Cal Bowdler,22,423,0.426,0.0,0.632,0.1158392,0.0,0.0567376,0.0520095,0.2009456,0.0330969,0.0330969,0.0212766,0.0496454,0.108747,0.2884161,1,False
7,8,Ryan Bowen,24,589,0.39299999999999996,0.111,0.7170000000000001,0.0780985,0.0016978,0.0645161,0.1273345,0.1935484,0.0339559,0.0662139,0.0220713,0.0237691,0.1612903,0.2224109,1,True
8,9,Ira Bowman,26,20,1.0,0.0,0.5,0.1,0.0,0.05,0.0,0.1,0.05,0.05,0.0,0.05,0.0,0.25,4,False
9,10,A.J. Bramlett,23,61,0.19,0.0,0.0,0.0655738,0.0,0.0,0.1967213,0.3606557,0.0,0.0163934,0.0,0.0491803,0.2131148,0.1311475,2,False
10,11,Elton Brand,20,2999,0.48200000000000004,0.0,0.685,0.21007,0.0,0.1223741,0.1160387,0.27009,0.0516839,0.0220073,0.0440147,0.0760253,0.0863621,0.5425142,1,True
11,12,Greg Buckner,23,923,0.47600000000000003,0.385,0.6829999999999999,0.12026,0.0108342,0.0465872,0.0606717,0.1885157,0.0595883,0.0411701,0.0216685,0.0390033,0.1603467,0.2979415,3,True
12,13,Rodney Buford,22,386,0.41100000000000003,0.24100000000000002,0.727,0.1606218,0.0181347,0.0414508,0.0259067,0.1243523,0.0544041,0.0259067,0.0207254,0.0233161,0.1139896,0.380829,1,True
13,14,Anthony Carter,24,1859,0.395,0.13,0.75,0.1081226,0.0016138,0.0500269,0.0258203,0.1070468,0.2033351,0.0500269,0.0026896,0.0930608,0.0898332,0.267886,1,True
14,15,John Celestand,22,185,0.33299999999999996,0.222,0.833,0.0810811,0.0108108,0.027027,0.0054054,0.0594595,0.1081081,0.0378378,0.0,0.0864865,0.1189189,0.2,1,False
15,16,Vonteego Cummings,23,1793,0.405,0.325,0.7509999999999999,0.147797,0.0273285,0.070831,0.0317903,0.1026213,0.1377579,0.0507529,0.0072504,0.0736196,0.0970441,0.3937535,1,False
16,17,Baron Davis,20,1523,0.42,0.225,0.634,0.119501,0.016415,0.0636901,0.0315167,0.1083388,0.202889,0.0636901,0.0124754,0.0919238,0.1319764,0.319107,1,True
17,18,Derrick Dial,24,95,0.37,0.25,0.6,0.1789474,0.0315789,0.0315789,0.1473684,0.2736842,0.0526316,0.0105263,0.0105263,0.0631579,0.1052632,0.4210526,5,False
18,19,Obinna Ekezie,24,351,0.466,0.0,0.672,0.1168091,0.0,0.1225071,0.0968661,0.2621083,0.022792,0.025641,0.011396,0.0740741,0.1737892,0.3561254,1,False
19,20,Evan Eschmeyer,24,373,0.528,0.0,0.5,0.1018767,0.0,0.0402145,0.1072386,0.2895442,0.0563003,0.0214477,0.0563003,0.0563003,0.2252011,0.2439678,3,False
20,21,Jeff Foster,23,86,0.565,0.0,0.68,0.1511628,0.0,0.1976744,0.1395349,0.372093,0.0581395,0.0581395,0.0116279,0.0232558,0.2093023,0.5,1,True
21,22,Steve Francis,22,2776,0.445,0.345,0.7859999999999999,0.1790346,0.0385447,0.1033862,0.054755,0.1473343,0.1826369,0.0425072,0.0104467,0.1102305,0.0832133,0.5,1,True
22,23,Devean George,22,345,0.389,0.34,0.659,0.1623188,0.0463768,0.0782609,0.084058,0.2173913,0.0347826,0.0289855,0.0115942,0.0608696,0.1565217,0.4492754,1,True
23,24,Dion Glover,21,446,0.386,0.267,0.7290000000000001,0.1479821,0.0269058,0.1143498,0.0336323,0.0852018,0.0605381,0.0336323,0.0089686,0.0627803,0.0627803,0.4372197,1,True
