rk,player,debut,age,yrs,g,mp,fg,fga,threes,threes_a,ft,fta,orb,trb,ast,stl,blk,tov,pf,pts,fg_pct,threes_pct,ft_pct,mp_pg,pts_pg,trb_pg,ast_pg,yr1,retired
1,Rafer Alston,"Feb 17, '00, MIL vs. IND",23,11,27,361,27,95,3,14,3,4,5,23,70,12,0,29,29,60,.284,.214,.750,13.4,2.2,0.9,2.6,2000,1
2,Chucky Atkins,"Nov 2, '99, ORL @ CHH",25,11,82,1626,314,741,57,163,97,133,20,126,306,52,3,142,137,782,.424,.350,.729,19.8,9.5,1.5,3.7,2000,1
3,William Avery,"Nov 13, '99, MIN vs. PHO",20,3,59,484,56,181,18,63,24,36,8,40,88,14,2,42,60,154,.309,.286,.667,8.2,2.6,0.7,1.5,2000,1
4,Jonathan Bender,"Dec 10, '99, IND vs. CLE",19,8,24,130,23,70,2,12,16,24,4,21,3,1,5,7,18,64,.329,.167,.667,5.4,2.7,0.9,0.1,2000,1
5,Calvin Booth,"Mar 25, '00, WAS @ DAL",23,10,11,143,16,46,0,0,10,14,15,32,7,3,14,6,23,42,.348,,.714,13.0,3.8,2.9,0.6,2000,1
6,Lazaro Borrell,"Nov 11, '99, SEA @ CLE",27,1,17,167,28,63,0,3,6,11,14,40,10,6,3,6,9,62,.444,.000,.545,9.8,3.6,2.4,0.6,2000,1
7,Cal Bowdler,"Nov 2, '99, ATL @ WAS",22,3,46,423,49,115,0,1,24,38,22,85,14,14,9,21,46,122,.426,.000,.632,9.2,2.7,1.8,0.3,2000,1
8,Ryan Bowen,"Nov 2, '99, DEN vs. PHO",24,10,52,589,46,117,1,9,38,53,75,114,20,39,13,14,95,131,.393,.111,.717,11.3,2.5,2.2,0.4,2000,1
9,Ira Bowman,"Feb 25, '00, PHI @ MIL",26,3,11,20,2,2,0,0,1,2,0,2,1,1,0,1,0,5,1.000,,.500,1.8,0.5,0.2,0.1,2000,1
10,A.J. Bramlett,"Dec 7, '99, CLE @ TOR",23,1,8,61,4,21,0,0,0,0,12,22,0,1,0,3,13,8,.190,,,7.6,1.0,2.8,0.0,2000,1
